"MSSubClass","MSZoning","LotArea","LotShape","LandContour","Neighborhood","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","Exterior1st","Exterior2nd","MasVnrArea","ExterQual","Foundation","BsmtQual","BsmtCond","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtUnfSF","TotalBsmtSF","HeatingQC","CentralAir","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","Fence","SalePrice"
60,"RL",8450,"Reg","Lvl","CollgCr","1Fam","2Story",7,5,2003,2003,"VinylSd","VinylSd",196,"Gd","PConc","Gd","TA","GLQ",706,"Unf",150,856,"Ex","Y",856,854,1710,1,2,1,3,1,"Gd",8,"Typ",0,"Gd","Attchd",2003,"RFn",2,548,"TA","TA","Y",0,61,"GdPrv",208500
20,"RL",9600,"Reg","Lvl","Veenker","1Fam","1Story",6,8,1976,1976,"MetalSd","MetalSd",0,"TA","CBlock","Gd","TA","ALQ",978,"Unf",284,1262,"Ex","Y",1262,0,1262,0,2,0,3,1,"TA",6,"Typ",1,"TA","Attchd",1976,"RFn",2,460,"TA","TA","Y",298,0,"GdPrv",181500
60,"RL",11250,"IR1","Lvl","CollgCr","1Fam","2Story",7,5,2001,2002,"VinylSd","VinylSd",162,"Gd","PConc","Gd","TA","GLQ",486,"Unf",434,920,"Ex","Y",920,866,1786,1,2,1,3,1,"Gd",6,"Typ",1,"TA","Attchd",2001,"RFn",2,608,"TA","TA","Y",0,42,"MnPrv",223500
70,"RL",9550,"IR1","Lvl","Crawfor","1Fam","2Story",7,5,1915,1970,"Wd Sdng","Wd Shng",0,"TA","BrkTil","TA","Gd","ALQ",216,"Unf",540,756,"Gd","Y",961,756,1717,1,1,0,3,1,"Gd",7,"Typ",1,"Gd","Detchd",1998,"Unf",3,642,"TA","TA","Y",0,35,"GdPrv",140000
60,"RL",14260,"IR1","Lvl","NoRidge","1Fam","2Story",8,5,2000,2000,"VinylSd","VinylSd",350,"Gd","PConc","Gd","TA","GLQ",655,"Unf",490,1145,"Ex","Y",1145,1053,2198,1,2,1,4,1,"Gd",9,"Typ",1,"TA","Attchd",2000,"RFn",3,836,"TA","TA","Y",192,84,"GdPrv",250000
50,"RL",14115,"IR1","Lvl","Mitchel","1Fam","1.5Fin",5,5,1993,1995,"VinylSd","VinylSd",0,"TA","Wood","Gd","TA","GLQ",732,"Unf",64,796,"Ex","Y",796,566,1362,1,1,1,1,1,"TA",5,"Typ",0,"TA","Attchd",1993,"Unf",2,480,"TA","TA","Y",40,30,"MnPrv",143000
20,"RL",10084,"Reg","Lvl","Somerst","1Fam","1Story",8,5,2004,2005,"VinylSd","VinylSd",186,"Gd","PConc","Ex","TA","GLQ",1369,"Unf",317,1686,"Ex","Y",1694,0,1694,1,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2004,"RFn",2,636,"TA","TA","Y",255,57,"MnPrv",307000
60,"RL",10382,"IR1","Lvl","NWAmes","1Fam","2Story",7,6,1973,1973,"HdBoard","HdBoard",240,"TA","CBlock","Gd","TA","ALQ",859,"BLQ",216,1107,"Ex","Y",1107,983,2090,1,2,1,3,1,"TA",7,"Typ",2,"TA","Attchd",1973,"RFn",2,484,"TA","TA","Y",235,204,"MnPrv",200000
50,"RM",6120,"Reg","Lvl","OldTown","1Fam","1.5Fin",7,5,1931,1950,"BrkFace","Wd Shng",0,"TA","BrkTil","TA","TA","Unf",0,"Unf",952,952,"Gd","Y",1022,752,1774,0,2,0,2,2,"TA",8,"Min1",2,"TA","Detchd",1931,"Unf",2,468,"Fa","TA","Y",90,0,"MnWw",129900
190,"RL",7420,"Reg","Lvl","BrkSide","2fmCon","1.5Unf",5,6,1939,1950,"MetalSd","MetalSd",0,"TA","BrkTil","TA","TA","GLQ",851,"Unf",140,991,"Ex","Y",1077,0,1077,1,1,0,2,2,"TA",5,"Typ",2,"TA","Attchd",1939,"RFn",1,205,"Gd","TA","Y",0,4,"GdPrv",118000
20,"RL",11200,"Reg","Lvl","Sawyer","1Fam","1Story",5,5,1965,1965,"HdBoard","HdBoard",0,"TA","CBlock","TA","TA","Rec",906,"Unf",134,1040,"Ex","Y",1040,0,1040,1,1,0,3,1,"TA",5,"Typ",0,"Gd","Detchd",1965,"Unf",1,384,"TA","TA","Y",0,0,"MnPrv",129500
60,"RL",11924,"IR1","Lvl","NridgHt","1Fam","2Story",9,5,2005,2006,"WdShing","Wd Shng",286,"Ex","PConc","Ex","TA","GLQ",998,"Unf",177,1175,"Ex","Y",1182,1142,2324,1,3,0,4,1,"Ex",11,"Typ",2,"Gd","BuiltIn",2005,"Fin",3,736,"TA","TA","Y",147,21,"MnPrv",345000
20,"RL",12968,"IR2","Lvl","Sawyer","1Fam","1Story",5,6,1962,1962,"HdBoard","Plywood",0,"TA","CBlock","TA","TA","ALQ",737,"Unf",175,912,"TA","Y",912,0,912,1,1,0,2,1,"TA",4,"Typ",0,"Gd","Detchd",1962,"Unf",1,352,"TA","TA","Y",140,0,"MnPrv",144000
20,"RL",10652,"IR1","Lvl","CollgCr","1Fam","1Story",7,5,2006,2007,"VinylSd","VinylSd",306,"Gd","PConc","Gd","TA","Unf",0,"Unf",1494,1494,"Ex","Y",1494,0,1494,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2006,"RFn",3,840,"TA","TA","Y",160,33,"MnPrv",279500
20,"RL",10920,"IR1","Lvl","NAmes","1Fam","1Story",6,5,1960,1960,"MetalSd","MetalSd",212,"TA","CBlock","TA","TA","BLQ",733,"Unf",520,1253,"TA","Y",1253,0,1253,1,1,1,2,1,"TA",5,"Typ",1,"Fa","Attchd",1960,"RFn",1,352,"TA","TA","Y",0,213,"GdWo",157000
45,"RM",6120,"Reg","Lvl","BrkSide","1Fam","1.5Unf",7,8,1929,2001,"Wd Sdng","Wd Sdng",0,"TA","BrkTil","TA","TA","Unf",0,"Unf",832,832,"Ex","Y",854,0,854,0,1,0,2,1,"TA",5,"Typ",0,"TA","Detchd",1991,"Unf",2,576,"TA","TA","Y",48,112,"GdPrv",132000
20,"RL",11241,"IR1","Lvl","NAmes","1Fam","1Story",6,7,1970,1970,"Wd Sdng","Wd Sdng",180,"TA","CBlock","TA","TA","ALQ",578,"Unf",426,1004,"Ex","Y",1004,0,1004,1,1,0,2,1,"TA",5,"Typ",1,"TA","Attchd",1970,"Fin",2,480,"TA","TA","Y",0,0,"MnPrv",149000
